id,transcript,intent,amount,recipient,service,ussd_sequence,is_synthetic
syn_0272,Tuma mbao airtime line hii,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0328,Check balance ya KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0776,Tuma soo mbili direct kwa mzee,SEND_MONEY,200,mzee,,*334# -> 1 -> mzee -> 200,True
syn_0409,Nishikie bundles za elfu moja,BUY_BUNDLES,1000,,,*334# -> 3 -> 2 -> 1000,True
syn_0261,Tuma soo mbili direct kwa 0722000000,SEND_MONEY,200,0722000000,,*334# -> 1 -> 0722000000 -> 200,True
syn_0533,Check salio Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0094,Buy bundles za soo tano kwa chali yangu,BUY_BUNDLES,500,chali yangu,,*334# -> 3 -> 2 -> 500,True
syn_0616,Tuma soo mbili direct kwa 0712345678,SEND_MONEY,200,0712345678,,*334# -> 1 -> 0712345678 -> 200,True
syn_0100,Lipa bill ya data Ksh 500,PAY_BILL,500,,data,*334# -> 2 -> 1 -> data -> [RECIPIENT] -> 500,True
syn_0045,Lipa KPLC account 0700112233 amount 1500,PAY_BILL,1500,0700112233,KPLC,*334# -> 2 -> 1 -> KPLC -> 0700112233 -> 1500,True
syn_0689,Buy bundles za Ksh 500 kwa mzee,BUY_BUNDLES,500,mzee,,*334# -> 3 -> 2 -> 500,True
syn_0351,Niaje Weka soo mbili kwa 0798765432,SEND_MONEY,200,0798765432,,*334# -> 1 -> 0798765432 -> 200,True
syn_0706,Niaje Weka mbao kwa sis,SEND_MONEY,20,sis,,*334# -> 1 -> sis -> 20,True
syn_0518,Nataka kuangalia balance kwa M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0101,Niletee brathe fifty bob,SEND_MONEY,50,brathe,,*334# -> 1 -> brathe -> 50,True
syn_0108,Niambie salio langu la Safaricom,CHECK_BALANCE,,,Safaricom,*334# -> 6 -> 1,True
syn_0575,Lipa token account mzee amount 50,PAY_BILL,50,mzee,token,*334# -> 2 -> 1 -> token -> mzee -> 50,True
syn_0467,Weka kredit elfu mbili,BUY_AIRTIME,2000,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 2000,True
syn_0023,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0553,Nataka kuangalia balance kwa KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0457,Lipa airtime ya mbao,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0359,Nahitaji data bundles za soo mbili,BUY_BUNDLES,200,,,*334# -> 3 -> 2 -> 200,True
syn_0529,Nishikie bundles za chapaa soo tano,BUY_BUNDLES,500,,,*334# -> 3 -> 2 -> 500,True
syn_0308,Check balance ya Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0928,Nataka kuangalia balance kwa token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0804,Nipatie bundles ya soo mbili,BUY_BUNDLES,200,,,*334# -> 3 -> 2 -> 200,True
syn_0497,Can I get soo mbili airtime,BUY_AIRTIME,200,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 200,True
syn_0875,Lipa Safaricom account mama amount 2000,PAY_BILL,2000,mama,Safaricom,*334# -> 2 -> 1 -> Safaricom -> mama -> 2000,True
syn_0632,Niletee airtime ya mbao,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0292,Send kredit ya soo mbili kwa number sis,BUY_AIRTIME,200,sis,,*334# -> 3 -> 1 -> sis -> 200,True
syn_0318,Check balance ya token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0555,Lipa M-Pesa account brathe amount 5000,PAY_BILL,5000,brathe,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> brathe -> 5000,True
syn_0160,Lipia net elfu 5000,PAY_BILL,5000,,net,*334# -> 2 -> 1 -> net -> [RECIPIENT] -> 5000,True
syn_0095,Lipa bill ya Safaricom Ksh 1000,PAY_BILL,1000,,Safaricom,*334# -> 2 -> 1 -> Safaricom -> [RECIPIENT] -> 1000,True
syn_0744,Nahitaji data bundles za punch,BUY_BUNDLES,100,,,*334# -> 3 -> 2 -> 100,True
syn_0455,Lipa Safaricom account 0722000000 amount 2000,PAY_BILL,2000,0722000000,Safaricom,*334# -> 2 -> 1 -> Safaricom -> 0722000000 -> 2000,True
syn_0847,Send kredit ya elfu mbili kwa number shosh,BUY_AIRTIME,2000,shosh,,*334# -> 3 -> 1 -> shosh -> 2000,True
syn_0813,Check balance ya token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0364,Nipatie bundles ya chapaa soo tano,BUY_BUNDLES,500,,,*334# -> 3 -> 2 -> 500,True
syn_0372,Weka kredit bob mbao,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0775,Tuma Safaricom soo 5000,PAY_BILL,5000,,Safaricom,*334# -> 2 -> 1 -> Safaricom -> [RECIPIENT] -> 5000,True
syn_0232,Nitumie kredit elfu mbili,BUY_AIRTIME,2000,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 2000,True
syn_0262,Niongeze punch mama,BUY_AIRTIME,100,mama,,*334# -> 3 -> 1 -> mama -> 100,True
syn_0957,Can I get fifty bob airtime,BUY_AIRTIME,50,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 50,True
syn_0772,Tuma elfu mbili airtime line hii,BUY_AIRTIME,2000,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 2000,True
syn_0217,Niongeze fifty bob sis,BUY_AIRTIME,50,sis,,*334# -> 3 -> 1 -> sis -> 50,True
syn_0572,Weka airtime ya soo tano,BUY_AIRTIME,500,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 500,True
syn_0112,Send kredit fifty bob,BUY_AIRTIME,50,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 50,True
syn_0558,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0889,Nipatie bundles ya mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0809,Nipatie bundles ya soo mbili,BUY_BUNDLES,200,,,*334# -> 3 -> 2 -> 200,True
syn_0124,Nahitaji data bundles za bob mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0432,Lipa fifty bob airtime line hii,BUY_AIRTIME,50,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 50,True
syn_0878,Niambie salio langu la data,CHECK_BALANCE,,,data,*334# -> 6 -> 1,True
syn_0325,Paybill M-Pesa amount 1500,PAY_BILL,1500,,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> [RECIPIENT] -> 1500,True
syn_0291,Tuma elfu moja direct kwa mzee,SEND_MONEY,1000,mzee,,*334# -> 1 -> mzee -> 1000,True
syn_0289,Nishikie bundles za elfu moja,BUY_BUNDLES,1000,,,*334# -> 3 -> 2 -> 1000,True
syn_0284,Nipatie bundles ya mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0447,Lipa kredit ya chapaa soo tano kwa number mama,BUY_AIRTIME,500,mama,,*334# -> 3 -> 1 -> mama -> 500,True
syn_0845,Lipa bill ya KPLC Ksh 1000,PAY_BILL,1000,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 1000,True
syn_0140,Lipa M-Pesa soo 1500,PAY_BILL,1500,,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> [RECIPIENT] -> 1500,True
syn_0746,Tuma soo tano direct kwa 0712345678,SEND_MONEY,500,0712345678,,*334# -> 1 -> 0712345678 -> 500,True
syn_0138,Balance ni gani kwa Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0793,How much money is in my Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0642,Bao credit ya soo mbili kwa sis,BUY_AIRTIME,200,sis,,*334# -> 3 -> 1 -> sis -> 200,True
syn_0370,Lipa M-Pesa account 0722000000 amount 100,PAY_BILL,100,0722000000,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> 0722000000 -> 100,True
syn_0238,Balance ni gani kwa Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0838,Balance ni gani kwa token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0190,Lipa token soo 100,PAY_BILL,100,,token,*334# -> 2 -> 1 -> token -> [RECIPIENT] -> 100,True
syn_0986,Weka 0700112233 elfu moja,SEND_MONEY,1000,0700112233,,*334# -> 1 -> 0700112233 -> 1000,True
syn_0787,Bao credit ya bob mbao kwa sis,BUY_AIRTIME,20,sis,,*334# -> 3 -> 1 -> sis -> 20,True
syn_0536,Neelekeze Niletee elfu moja kwa shosh,SEND_MONEY,1000,shosh,,*334# -> 1 -> shosh -> 1000,True
syn_0417,Nishikie mbao airtime line hii,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0602,Can I get bob mbao airtime,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0798,Balance ni gani kwa KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0469,Buy bundles za Ksh 500 kwa 0700112233,BUY_BUNDLES,500,0700112233,,*334# -> 3 -> 2 -> 500,True
syn_0765,Paybill KPLC amount 2000,PAY_BILL,2000,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 2000,True
syn_0069,Niongeze token za punch,BUY_BUNDLES,100,,token,*334# -> 3 -> 2 -> 100,True
syn_0628,How much money is in my Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0332,Can I get soo mbili airtime,BUY_AIRTIME,200,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 200,True
syn_0465,Lipa bill ya token Ksh 200,PAY_BILL,200,,token,*334# -> 2 -> 1 -> token -> [RECIPIENT] -> 200,True
syn_0651,Lipa cash fifty bob hapa chali yangu,SEND_MONEY,50,chali yangu,,*334# -> 1 -> chali yangu -> 50,True
syn_0012,Nitumie kredit Ksh 500,BUY_AIRTIME,500,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 500,True
syn_0817,Weka kredit ya chapaa soo tano kwa number mzee,BUY_AIRTIME,500,mzee,,*334# -> 3 -> 1 -> mzee -> 500,True
syn_0829,Niongeze M-Pesa za soo mbili,BUY_BUNDLES,200,,M-Pesa,*334# -> 3 -> 2 -> 200,True
syn_0503,Nataka kuangalia balance kwa Safaricom,CHECK_BALANCE,,,Safaricom,*334# -> 6 -> 1,True
syn_0664,Buy bundles za punch kwa shosh,BUY_BUNDLES,100,shosh,,*334# -> 3 -> 2 -> 100,True
syn_0047,Lipa chapaa soo tano airtime line hii,BUY_AIRTIME,500,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 500,True
syn_0340,Lipa bill ya data Ksh 1000,PAY_BILL,1000,,data,*334# -> 2 -> 1 -> data -> [RECIPIENT] -> 1000,True
syn_0693,Balance ni gani kwa KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0814,Nishikie bundles za elfu moja,BUY_BUNDLES,1000,,,*334# -> 3 -> 2 -> 1000,True
syn_0538,Nataka kuangalia balance kwa token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0016,Lipa cash bob mbao hapa mzee,SEND_MONEY,20,mzee,,*334# -> 1 -> mzee -> 20,True
syn_0030,Weka net soo 500,PAY_BILL,500,,net,*334# -> 2 -> 1 -> net -> [RECIPIENT] -> 500,True
syn_0520,Lipia Zuku elfu 200,PAY_BILL,200,,Zuku,*334# -> 2 -> 1 -> Zuku -> [RECIPIENT] -> 200,True
syn_0397,Can I get chapaa soo tano airtime,BUY_AIRTIME,500,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 500,True
syn_0296,Can you Nishikie fifty bob to brathe,SEND_MONEY,50,brathe,,*334# -> 1 -> brathe -> 50,True
syn_0244,Buy bundles za elfu moja kwa shosh,BUY_BUNDLES,1000,shosh,,*334# -> 3 -> 2 -> 1000,True
syn_0287,Niongeze bob mbao 0722000000,BUY_AIRTIME,20,0722000000,,*334# -> 3 -> 1 -> 0722000000 -> 20,True
syn_0946,Nitumie cash elfu moja hapa 0722000000,SEND_MONEY,1000,0722000000,,*334# -> 1 -> 0722000000 -> 1000,True
syn_0110,Tuma Zuku soo 1000,PAY_BILL,1000,,Zuku,*334# -> 2 -> 1 -> Zuku -> [RECIPIENT] -> 1000,True
syn_0694,Nahitaji data bundles za punch,BUY_BUNDLES,100,,,*334# -> 3 -> 2 -> 100,True
syn_0259,Nipatie bundles ya elfu moja,BUY_BUNDLES,1000,,,*334# -> 3 -> 2 -> 1000,True
syn_0209,Nishikie bundles za fifty bob,BUY_BUNDLES,50,,,*334# -> 3 -> 2 -> 50,True
syn_0383,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0298,Nataka kuangalia balance kwa KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0513,Check salio KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0578,How much money is in my Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0574,Nipatie bundles ya mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0051,Lipa cash mbao hapa 0798765432,SEND_MONEY,20,0798765432,,*334# -> 1 -> 0798765432 -> 20,True
syn_0184,Nahitaji data bundles za elfu mbili,BUY_BUNDLES,2000,,,*334# -> 3 -> 2 -> 2000,True
syn_0709,Nipatie bundles ya soo tano,BUY_BUNDLES,500,,,*334# -> 3 -> 2 -> 500,True
syn_0640,Tuma Zuku soo 50,PAY_BILL,50,,Zuku,*334# -> 2 -> 1 -> Zuku -> [RECIPIENT] -> 50,True
syn_0018,How much money is in my Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0399,Nishikie bundles za bob mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0502,Niletee kredit fifty bob,BUY_AIRTIME,50,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 50,True
syn_0963,Check balance ya Safaricom,CHECK_BALANCE,,,Safaricom,*334# -> 6 -> 1,True
syn_0422,Niongeze mbao 0700112233,BUY_AIRTIME,20,0700112233,,*334# -> 3 -> 1 -> 0700112233 -> 20,True
syn_0392,Bao credit ya fifty bob kwa 0722000000,BUY_AIRTIME,50,0722000000,,*334# -> 3 -> 1 -> 0722000000 -> 50,True
syn_0116,Neelekeze Nishikie fifty bob kwa mzee,SEND_MONEY,50,mzee,,*334# -> 1 -> mzee -> 50,True
syn_0490,Paybill Safaricom amount 2000,PAY_BILL,2000,,Safaricom,*334# -> 2 -> 1 -> Safaricom -> [RECIPIENT] -> 2000,True
syn_0665,Lipia data elfu 2000,PAY_BILL,2000,,data,*334# -> 2 -> 1 -> data -> [RECIPIENT] -> 2000,True
syn_0877,Bao credit ya soo tano kwa 0798765432,BUY_AIRTIME,500,0798765432,,*334# -> 3 -> 1 -> 0798765432 -> 500,True
syn_0019,Tuma data ya fifty bob,BUY_BUNDLES,50,,,*334# -> 3 -> 2 -> 50,True
syn_0770,Lipa bill ya token Ksh 1000,PAY_BILL,1000,,token,*334# -> 2 -> 1 -> token -> [RECIPIENT] -> 1000,True
syn_0982,Can I get bob mbao airtime,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0905,Lipa net account brathe amount 100,PAY_BILL,100,brathe,net,*334# -> 2 -> 1 -> net -> brathe -> 100,True
syn_0441,Nitumie mbao kwa mzee,SEND_MONEY,20,mzee,,*334# -> 1 -> mzee -> 20,True
syn_0794,Nipatie bundles ya fifty bob,BUY_BUNDLES,50,,,*334# -> 3 -> 2 -> 50,True
syn_0966,Niletee bob mbao kwa 0700112233,SEND_MONEY,20,0700112233,,*334# -> 1 -> 0700112233 -> 20,True
syn_0816,Nitumie cash punch hapa brathe,SEND_MONEY,100,brathe,,*334# -> 1 -> brathe -> 100,True
syn_0486,Niletee soo tano kwa 0798765432,SEND_MONEY,500,0798765432,,*334# -> 1 -> 0798765432 -> 500,True
syn_0437,Can I get bob mbao airtime,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0993,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0041,Tuma Ksh 500 direct kwa brathe,SEND_MONEY,500,brathe,,*334# -> 1 -> brathe -> 500,True
syn_0802,Tuma kredit elfu moja,BUY_AIRTIME,1000,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 1000,True
syn_0122,Nishikie mbao airtime line hii,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0892,Niongeze elfu moja 0700112233,BUY_AIRTIME,1000,0700112233,,*334# -> 3 -> 1 -> 0700112233 -> 1000,True
syn_0987,Nishikie kredit ya fifty bob kwa number 0798765432,BUY_AIRTIME,50,0798765432,,*334# -> 3 -> 1 -> 0798765432 -> 50,True
syn_0669,Buy bundles za bob mbao kwa brathe,BUY_BUNDLES,20,brathe,,*334# -> 3 -> 2 -> 20,True
syn_0656,Neelekeze Nitumie fifty bob kwa 0712345678,SEND_MONEY,50,0712345678,,*334# -> 1 -> 0712345678 -> 50,True
syn_0376,Tuma Ksh 1500 to mama,SEND_MONEY,1500,mama,,*334# -> 1 -> mama -> 1500,True
syn_0969,Niletee data ya fifty bob,BUY_BUNDLES,50,,,*334# -> 3 -> 2 -> 50,True
syn_0494,Buy bundles za punch kwa 0712345678,BUY_BUNDLES,100,0712345678,,*334# -> 3 -> 2 -> 100,True
syn_0424,Nahitaji data bundles za mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0043,Balance ni gani kwa M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0423,Balance ni gani kwa KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0425,Nitumie Safaricom soo 50,PAY_BILL,50,,Safaricom,*334# -> 2 -> 1 -> Safaricom -> [RECIPIENT] -> 50,True
syn_0778,Check balance ya net,CHECK_BALANCE,,,net,*334# -> 6 -> 1,True
syn_0648,Check balance ya Safaricom,CHECK_BALANCE,,,Safaricom,*334# -> 6 -> 1,True
syn_0857,Nishikie chapaa soo tano airtime line hii,BUY_AIRTIME,500,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 500,True
syn_0239,Buy bundles za punch kwa mzee,BUY_BUNDLES,100,mzee,,*334# -> 3 -> 2 -> 100,True
syn_0121,Weka chali yangu soo mbili,SEND_MONEY,200,chali yangu,,*334# -> 1 -> chali yangu -> 200,True
syn_0212,Niongeze chapaa soo tano chali yangu,BUY_AIRTIME,500,chali yangu,,*334# -> 3 -> 1 -> chali yangu -> 500,True
syn_0046,Neelekeze Tuma punch kwa mzee,SEND_MONEY,100,mzee,,*334# -> 1 -> mzee -> 100,True
syn_0157,Bao credit ya punch kwa sis,BUY_AIRTIME,100,sis,,*334# -> 3 -> 1 -> sis -> 100,True
syn_0927,Can I get elfu moja airtime,BUY_AIRTIME,1000,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 1000,True
syn_0036,Neelekeze Nitumie Ksh 500 kwa shosh,SEND_MONEY,500,shosh,,*334# -> 1 -> shosh -> 500,True
syn_0175,Lipa bill ya M-Pesa Ksh 2000,PAY_BILL,2000,,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> [RECIPIENT] -> 2000,True
syn_0971,Niletee cash fifty bob hapa 0700112233,SEND_MONEY,50,0700112233,,*334# -> 1 -> 0700112233 -> 50,True
syn_0715,Lipa data account 0712345678 amount 50,PAY_BILL,50,0712345678,data,*334# -> 2 -> 1 -> data -> 0712345678 -> 50,True
syn_0171,Niaje Lipa mbao kwa chali yangu,SEND_MONEY,20,chali yangu,,*334# -> 1 -> chali yangu -> 20,True
syn_0303,Check balance ya Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0605,Lipia Safaricom elfu 50,PAY_BILL,50,,Safaricom,*334# -> 2 -> 1 -> Safaricom -> [RECIPIENT] -> 50,True
syn_0285,Paybill net amount 2000,PAY_BILL,2000,,net,*334# -> 2 -> 1 -> net -> [RECIPIENT] -> 2000,True
syn_0247,Can I get fifty bob airtime,BUY_AIRTIME,50,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 50,True
syn_0421,Tuma Ksh 1500 to chali yangu,SEND_MONEY,1500,chali yangu,,*334# -> 1 -> chali yangu -> 1500,True
syn_0831,Nitumie fifty bob kwa brathe,SEND_MONEY,50,brathe,,*334# -> 1 -> brathe -> 50,True
syn_0463,How much money is in my net,CHECK_BALANCE,,,net,*334# -> 6 -> 1,True
syn_0727,Nitumie kredit ya fifty bob kwa number 0722000000,BUY_AIRTIME,50,0722000000,,*334# -> 3 -> 1 -> 0722000000 -> 50,True
syn_0967,Tuma kredit mbao,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0856,Tuma elfu moja kwa mzee,SEND_MONEY,1000,mzee,,*334# -> 1 -> mzee -> 1000,True
syn_0863,Niambie salio langu la Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0815,Lipa M-Pesa account sis amount 1000,PAY_BILL,1000,sis,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> sis -> 1000,True
syn_0408,Nataka kuangalia balance kwa Safaricom,CHECK_BALANCE,,,Safaricom,*334# -> 6 -> 1,True
syn_0688,Check salio M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0909,Nishikie bundles za soo tano,BUY_BUNDLES,500,,,*334# -> 3 -> 2 -> 500,True
syn_0076,Can you Niletee elfu mbili to 0700112233,SEND_MONEY,2000,0700112233,,*334# -> 1 -> 0700112233 -> 2000,True
syn_0192,Niongeze elfu moja mama,BUY_AIRTIME,1000,mama,,*334# -> 3 -> 1 -> mama -> 1000,True
syn_0183,How much money is in my Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0714,Nitumie data ya bob mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0920,Lipa bill ya Zuku Ksh 200,PAY_BILL,200,,Zuku,*334# -> 2 -> 1 -> Zuku -> [RECIPIENT] -> 200,True
syn_0808,Nataka kuangalia balance kwa token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0759,Nipatie bundles ya bob mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0178,Nataka kuangalia balance kwa M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0420,Paybill token amount 1500,PAY_BILL,1500,,token,*334# -> 2 -> 1 -> token -> [RECIPIENT] -> 1500,True
syn_0935,Paybill M-Pesa amount 50,PAY_BILL,50,,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> [RECIPIENT] -> 50,True
syn_0899,Buy bundles za elfu moja kwa chali yangu,BUY_BUNDLES,1000,chali yangu,,*334# -> 3 -> 2 -> 1000,True
syn_0207,Bao credit ya elfu moja kwa 0712345678,BUY_AIRTIME,1000,0712345678,,*334# -> 3 -> 1 -> 0712345678 -> 1000,True
syn_0789,Nishikie bundles za elfu mbili,BUY_BUNDLES,2000,,,*334# -> 3 -> 2 -> 2000,True
syn_0938,How much money is in my Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0099,Nishikie data ya elfu mbili,BUY_BUNDLES,2000,,,*334# -> 3 -> 2 -> 2000,True
syn_0551,Weka elfu mbili kwa brathe,SEND_MONEY,2000,brathe,,*334# -> 1 -> brathe -> 2000,True
syn_0123,Niambie salio langu la token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0723,Check balance ya net,CHECK_BALANCE,,,net,*334# -> 6 -> 1,True
syn_0079,Buy bundles za punch kwa shosh,BUY_BUNDLES,100,shosh,,*334# -> 3 -> 2 -> 100,True
syn_0293,Check balance ya net,CHECK_BALANCE,,,net,*334# -> 6 -> 1,True
syn_0979,Nahitaji data bundles za bob mbao,BUY_BUNDLES,20,,,*334# -> 3 -> 2 -> 20,True
syn_0260,Lipa net account brathe amount 200,PAY_BILL,200,brathe,net,*334# -> 2 -> 1 -> net -> brathe -> 200,True
syn_0868,Niambie salio langu la M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0654,Niongeze M-Pesa za soo tano,BUY_BUNDLES,500,,M-Pesa,*334# -> 3 -> 2 -> 500,True
syn_0220,Lipia Safaricom elfu 100,PAY_BILL,100,,Safaricom,*334# -> 2 -> 1 -> Safaricom -> [RECIPIENT] -> 100,True
syn_0228,Niambie salio langu la Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0005,Paybill KPLC amount 1000,PAY_BILL,1000,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 1000,True
syn_0346,Niaje Lipa elfu mbili kwa mama,SEND_MONEY,2000,mama,,*334# -> 1 -> mama -> 2000,True
syn_0636,Can you Nitumie Ksh 500 to mama,SEND_MONEY,500,mama,,*334# -> 1 -> mama -> 500,True
syn_0211,Can you Nishikie Ksh 500 to 0798765432,SEND_MONEY,500,0798765432,,*334# -> 1 -> 0798765432 -> 500,True
syn_0719,Nishikie bundles za punch,BUY_BUNDLES,100,,,*334# -> 3 -> 2 -> 100,True
syn_0061,Tuma Ksh 50 to mama,SEND_MONEY,50,mama,,*334# -> 1 -> mama -> 50,True
syn_0525,Tuma M-Pesa soo 2000,PAY_BILL,2000,,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> [RECIPIENT] -> 2000,True
syn_0223,Check salio token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0377,Tuma kredit fifty bob,BUY_AIRTIME,50,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 50,True
syn_0269,Nahitaji data bundles za fifty bob,BUY_BUNDLES,50,,,*334# -> 3 -> 2 -> 50,True
syn_0375,Lipa token soo 1500,PAY_BILL,1500,,token,*334# -> 2 -> 1 -> token -> [RECIPIENT] -> 1500,True
syn_0442,Nitumie kredit bob mbao,BUY_AIRTIME,20,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 20,True
syn_0360,Weka data soo 100,PAY_BILL,100,,data,*334# -> 2 -> 1 -> data -> [RECIPIENT] -> 100,True
syn_0405,Tuma data soo 200,PAY_BILL,200,,data,*334# -> 2 -> 1 -> data -> [RECIPIENT] -> 200,True
syn_0657,Tuma airtime ya Ksh 500,BUY_AIRTIME,500,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 500,True
syn_0478,How much money is in my Zuku,CHECK_BALANCE,,,Zuku,*334# -> 6 -> 1,True
syn_0386,Neelekeze Weka soo tano kwa 0700112233,SEND_MONEY,500,0700112233,,*334# -> 1 -> 0700112233 -> 500,True
syn_0826,Niletee 0700112233 mbao,SEND_MONEY,20,0700112233,,*334# -> 1 -> 0700112233 -> 20,True
syn_0988,Niambie salio langu la Safaricom,CHECK_BALANCE,,,Safaricom,*334# -> 6 -> 1,True
syn_0911,Tuma cash elfu mbili hapa sis,SEND_MONEY,2000,sis,,*334# -> 1 -> sis -> 2000,True
